0	2	2840
1	2	5461
2	0	694
2	1	8277
3	0	4298
3	1	8277
4	0	1480
4	1	8277
5	0	7500
5	1	8277
6	2	2886
7	0	7105
7	1	416
8	0	6212
8	1	4149
9	0	7500
9	1	4149
10	2	8257
11	0	5683
11	1	4149
12	2	4870
13	2	2079
14	0	6212
14	1	1393
15	0	7500
15	1	1393
16	2	6454
17	2	2569
18	0	308
18	1	1393
19	0	6212
19	1	3562
20	0	43
20	1	3562
21	2	2069
22	0	7500
22	1	7880
23	0	6422
23	1	8277
24	0	2370
24	1	8277
25	2	1393
26	0	2154
26	1	1393
27	0	5985
27	1	1505
28	2	1505
29	2	7610
30	2	3247
31	2	5499
32	2	3699
33	0	7105
33	1	8277
34	2	1464
35	2	4430
36	2	2631
37	0	7169
37	1	5489
38	2	5489
39	0	5247
39	1	8277
40	0	2996
40	1	3562
41	0	5354
41	1	3562
42	0	7500
42	1	3562
43	0	5987
43	1	3562
44	2	6731
45	0	5985
45	1	3562
46	0	6212
46	1	3846
47	0	7500
47	1	3846
48	0	7500
48	1	8187
49	0	7169
49	1	8187
50	2	7880
51	2	3934
52	2	2751
53	2	1355
54	0	6212
54	1	1505
55	2	1
56	0	2996
56	1	2986
57	2	6673
58	0	557
58	1	3638
59	0	6687
59	1	3638
60	2	7921
61	2	3571
62	0	7500
62	1	1759
63	2	2986
64	2	945
65	2	7883
66	2	6521
67	2	8187
68	0	7500
68	1	6521
69	0	7606
69	1	3562
70	0	7169
70	1	3562
71	2	4467
72	0	5204
72	1	3562
73	0	2529
73	1	2986
74	2	3638
75	0	7169
75	1	3638
76	0	5354
76	1	8277
77	2	8277
78	2	4882
79	0	7500
79	1	2986
80	2	5063
81	2	4111
82	0	7500
82	1	6156
83	0	5679
83	1	6439
84	0	7105
84	1	6439
85	2	5426
86	0	5683
86	1	6439
87	2	8366
88	0	6212
88	1	945
89	0	6725
89	1	945
90	0	7500
90	1	5331
91	2	2630
92	2	5329
93	2	396
94	2	7382
95	0	4184
95	1	7120
96	2	6013
97	2	1859
98	2	797
99	0	2350
99	1	2986
100	0	3073
100	1	3562
101	0	7169
101	1	5461
102	0	6858
102	1	3562
103	0	946
103	1	2005
104	0	3430
104	1	3571
105	2	5776
106	2	4477
107	0	2529
107	1	5776
108	2	672
109	2	5121
110	2	1630
111	2	554
112	2	3323
113	2	5133
114	2	1625
115	2	2544
116	2	3846
117	2	220
118	2	8481
119	0	6725
119	1	7883
120	0	952
120	1	3562
121	2	2266
122	2	3562
123	2	8055
124	0	7169
124	1	760
125	0	6725
125	1	3562
126	2	5860
127	2	5645
128	0	2350
128	1	3562
129	2	577
130	0	1957
130	1	8277
131	0	3100
131	1	8277
132	0	7105
132	1	7120
133	2	7120
134	0	946
134	1	7120
135	0	6212
135	1	2986
136	0	6603
136	1	2986
137	0	5354
137	1	2986
138	0	6212
138	1	7120
139	2	3289
140	2	523
141	0	5317
141	1	2986
142	2	402
143	0	7169
143	1	7815
144	0	7105
144	1	7815
145	2	1294
146	0	1648
146	1	5489
147	0	3437
147	1	5489
148	0	6229
148	1	7883
149	0	43
149	1	797
150	2	4905
151	0	7500
151	1	4905
152	0	125
152	1	4905
153	0	308
153	1	4905
154	0	2996
154	1	4905
155	0	4508
155	1	4905
156	0	6792
156	1	2986
157	2	21
158	2	6543
159	0	6212
159	1	8187
160	0	7940
160	1	8187
161	0	946
161	1	3562
162	0	4999
162	1	3562
163	0	7500
163	1	945
164	2	8161
165	0	7500
165	1	4176
166	2	6753
167	0	7500
167	1	4686
168	2	4392
169	0	7500
169	1	6116
170	0	6229
170	1	3562
171	0	946
171	1	8502
172	0	7105
172	1	8502
173	0	2393
173	1	8502
174	0	98
174	1	5645
175	2	3504
176	0	6725
176	1	3638
177	2	1078
178	2	8273
179	2	8245
180	0	694
180	1	5670
181	0	3915
181	1	5670
182	2	5835
183	0	7500
183	1	4065
184	0	2735
184	1	4065
185	0	2300
185	1	4065
186	0	43
186	1	4065
187	0	7500
187	1	5645
188	0	3348
188	1	5645
189	0	8166
189	1	3562
190	0	7105
190	1	6521
191	2	8502
192	0	3073
192	1	7558
193	0	5683
193	1	7558
194	2	5258
195	0	910
195	1	6460
196	0	7500
196	1	6460
197	0	2529
197	1	797
198	0	7500
198	1	797
199	0	7169
199	1	8502
200	2	4574
201	0	7500
201	1	8502
202	0	3525
202	1	5065
203	0	7105
203	1	5065
204	0	6212
204	1	5065
205	0	4005
205	1	5065
206	0	4999
206	1	4855
207	0	7500
207	1	4855
208	0	3073
208	1	4855
209	2	1849
210	0	6792
210	1	1505
211	0	3430
211	1	5560
212	0	952
212	1	5560
213	2	6100
214	0	7436
214	1	3562
215	2	7272
216	0	7169
216	1	2986
217	2	6681
218	2	2384
219	2	8104
220	2	6439
221	2	7204
222	2	8594
223	0	7169
223	1	797
224	2	3596
225	0	7500
225	1	402
226	0	7169
226	1	4905
227	0	3982
227	1	2768
228	2	5669
229	2	1855
230	2	5490
231	0	5683
231	1	7880
232	2	5385
233	0	6189
233	1	1393
234	0	7169
234	1	1393
235	0	7169
235	1	8277
236	2	3246
237	0	7500
237	1	1702
238	2	5206
239	0	7169
239	1	7916
240	2	7815
241	0	5171
241	1	7815
242	0	2938
242	1	7815
243	2	5475
244	0	7500
244	1	8375
245	0	7500
245	1	2768
246	0	7169
246	1	2768
247	2	1303
248	0	7500
248	1	3820
249	2	2670
250	2	4562
251	2	7337
252	2	5631
253	0	308
253	1	1778
254	2	795
255	2	4814
256	2	2727
257	0	4508
257	1	1505
258	0	7500
258	1	1505
259	0	308
259	1	7916
260	2	7916
261	2	7659
262	2	789
263	0	7500
263	1	1294
264	0	6725
264	1	1924
265	2	1924
266	2	6602
267	0	6189
267	1	1702
268	0	6603
268	1	1702
269	2	5127
270	2	4835
271	0	308
271	1	880
272	0	7169
272	1	880
273	0	8474
273	1	4601
274	0	7169
274	1	4601
275	2	6440
276	2	486
277	0	4541
